BR 79.90 0.320 1.22
CR 12.01 0.0860 1.9080
O2 16.00 0.2100 1.6612
CP 12.01 0.0860 1.9080
N4 14.01 0.1700 1.8240
RB 85.47 0.00017 2.9560
H 1.008 0.0157 0.6000
P 30.97 0.2000 2.1000
OH 16.00 0.2104 1.7210
OW 16.00 0.1520 1.7683
OS 16.00 0.1700 1.6837
HZ 1.008 0.0150 1.4590
HX 1.008 0.0157 1.1000
HS 1.008 0.0157 0.6000
HP 1.008 0.0157 0.6000
HW 1.008 0.0000 0.0000
HN 1.008 0.0157 0.6000
HO 1.008 0.0000 0.0000
HC 1.008 0.0157 1.4870
HA 1.008 0.0150 1.4590
PX 30.97 0.2000 2.1000
PY 30.97 0.2000 2.1000
PB 30.97 0.2000 2.1000
CQ 12.01 0.0860 1.9080
P2 30.97 0.2000 2.1000
P3 30.97 0.2000 2.1000
ZN 65.4 0.0125 1.10
P4 30.97 0.2000 2.1000
P5 30.97 0.2000 2.1000
K 39.10 0.000328 2.6580
O 16.00 0.2100 1.6612
S 32.06 0.2500 2.0000
MG 24.305 0.8947 0.7926
C 12.01 0.0860 1.9080
H3 1.008 0.0157 1.1870
H1 1.008 0.0157 1.3870
H4 1.008 0.0150 1.4090
H5 1.008 0.0150 1.3590
N 14.01 0.1700 1.8240
S2 32.06 0.2500 2.0000
S6 32.06 0.2500 2.0000
S4 32.06 0.2500 2.0000
NH 14.01 0.1700 1.8240
C* 12.01 0.0860 1.9080
NO 14.01 0.1700 1.8240
NA 14.01 0.1700 1.8240
NB 14.01 0.1700 1.8240
NC 14.01 0.1700 1.8240
ND 14.01 0.1700 1.8240
NE 14.01 0.1700 1.8240
NF 14.01 0.1700 1.8240
NY 14.01 0.1700 1.8240
C3 12.01 0.1094 1.9080
C2 12.01 0.0860 1.9080
C1 12.01 0.0860 1.9080
C0 40.08 0.459789 1.7131
NT 14.01 0.1700 1.8240
C6 12.01 0.0860 1.9080
C5 12.01 0.0860 1.9080
C4 12.01 0.1094 1.9080
CK 12.01 0.0860 1.9080
N* 14.01 0.1700 1.8240
CH 12.01 0.0860 1.9080
CN 12.01 0.0860 1.9080
CM 12.01 0.0860 1.9080
CL 35.45 0.265 0.948
CC 12.01 0.0860 1.9080
CB 12.01 0.0860 1.9080
CA 12.01 0.0860 1.9080
CG 12.01 0.0860 1.9080
CF 12.01 0.0860 1.9080
CE 12.01 0.0860 1.9080
CD 12.01 0.0860 1.9080
CZ 12.01 0.0860 1.9080
CY 12.01 0.0860 1.9080
CX 12.01 0.0860 1.9080
CS 132.91 0.0000806 3.3950
N1 14.01 0.1700 1.8240
N2 14.01 0.1700 1.8240
N3 14.01 0.1700 1.8240
CW 12.01 0.0860 1.9080
CV 12.01 0.0860 1.9080
CU 12.01 0.0860 1.9080
CT 12.01 0.1094 1.9080
SY 32.06 0.2500 2.0000
SX 32.06 0.2500 2.0000
SS 32.06 0.2500 2.0000
H2 1.008 0.0157 1.2870
SH 32.06 0.2500 2.0000
F 19.00 0.061 0.75
LI 6.94 0.0183 1.1370
LP 3.00 0.0000 0.00
I 126.9 0.40 1.35
IP 22.99 0.00277 1.8680
IM 35.45 0.1 2.47
IB 131.0 0.1 5.0
